Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2024-11-01 04:23:44,2024-11-01 14:45:03,CLOUD SERVICES,-32.76,0.00,EUR,COMPLETED,408.21
Transfer,Current,2024-11-02 00:17:01,2024-11-02 00:17:02,Transfer to FRIEND,-2.00,0.00,EUR,COMPLETED,406.21
Card Payment,Current,2024-11-01 09:28:47,2024-11-02 01:39:46,PHONE BILL,-20.00,0.00,EUR,COMPLETED,386.21
Card Payment,Current,2024-11-01 13:07:19,2024-11-02 15:06:44,GROCERY STORE,-10.75,0.00,EUR,COMPLETED,375.46
Card Payment,Current,2024-11-02 06:20:45,2024-11-03 01:44:43,HOME SECURITY,-33.95,0.00,EUR,COMPLETED,341.51
Card Payment,Current,2024-11-02 13:46:01,2024-11-04 16:53:09,SOFTWARE SUBSCRIPTION,-12.29,0.00,EUR,COMPLETED,329.22
Card Payment,Current,2024-11-07 12:05:34,2024-11-08 03:12:17,SPORTS CLUB,-79.08,0.00,EUR,COMPLETED,250.14
Transfer,Current,2024-11-09 00:16:56,2024-11-09 00:16:56,Transfer to FRIEND,-2.00,0.00,EUR,COMPLETED,248.14
Card Payment,Current,2024-11-09 12:14:47,2024-11-10 13:19:36,SUPERMARKET,-7.28,0.00,EUR,COMPLETED,240.86
Top-up,Current,2024-11-10 10:00:00,2024-11-10 10:00:00,TOP-UP,100.00,0.00,EUR,COMPLETED,340.86
